Codigo;Produto;Quantidade;Altura;Largura;Profundidade
484;MANCAL ALTERNADOR VW PASSAT/PARATI ../84    TRASE.;1;16;13,8;15
486;AUTOMATICO PART.FIAT UNO GM CHEVETTE     12V BOSCH;6;15;8;8
551;BENDIX PART.FORD CARGO 1114/1117/1218    10D WAPSA;1;10,76;6,1;6,1
569;FUCINHO PARTIDA FIAT UNO/MILLE/PREMIO        BOSCH;2;16;13,8;15
575;BENDIX PART.FORD ESCORT VW SANTANA        9D PREST;3;10,76;6,1;6,1
576;BENDIX PART.AGRALE TRATOR T4200/T4300    13D WAPSA;3;10,76;6,1;6,1
583;DIODO NEGATIVO BOSCH/WAPSA;12;5;1;1
584;DIODO POSITIVO BOSCH/WAPSA;6;5;1;1
598;CEBOLINHA FREIO MERCEDES CAMARA DUPLA FECHAMENTO;3;5,5;4;4
600;ESCOVA ALTERNADOR VW SANTANA/GOL/FIAT/ESCORT WAPSA;1149;15;5;7
601;ESCOVA PARTIDA MERCEDES JF 76/84      2 FIOS BOSCH;3;23;10;22
602;ESCOVA PARTIDA PERKINS LONGA PARAFUSO 4 ESC. BOSCH;3;21;8;20
603;ESCOVA PARTIDA VW FUSCA GM CHEVETTE 1.6      BOSCH;78;18;7;10
604;BOTAO VIDRO ELE. FORD ESCORT ../88 SIMPLES REDONDO;3;4,2;3,3;4,1
605;BOTAO VIDRO ELE. FORD ESCORT 88/.. SIMPLES ENCAIXE;84;4,2;3,3;4,1
606;BOTAO VIDRO ELE. FORD ESCORT ../88   DUPLO REDONDO;3;6,3;4;5,7
607;BOTAO VIDRO ELE. FORD ESCORT 88/..   DUPLO ENCAIXE;45;6,3;4;5,7
644;CILINDRO IGN.MERCEDES/ONIBUS/CAMINHOES   C/CHAVE;75;7;3;4
646;BENDIX PART.GM ASTRA/VECTRA/ZAFIRA        9D BOSCH;48;7,75;5,5;5,5
647;AUTOMATICO PART.VW SANTANA/SAVEIRO       12V PREST;3;15;7,5;7,5
657;BENDIX PART.TOYOTA COROLLA BMW 316/325    9D BOSCH;2;7,75;5,5;5,5
658;RELE FAROL VW/FUSCA/BRASILIA/KOMBI - REDONDO;90;6,5;6;6,5
669;JUNTA CARB.VW SANTANA 2.0 GM MONZA SOLEX DUPLO 3E;3;18,5;0,5;12
684;BOTAO VIDRO ELE. GM MONZA/OPALA 86/87      REDONDO;3;4,6;2;4,5
685;BOTAO VIDRO ELE. GM MONZA/OPALA 88/..      ENCAIXE;30;3,7;2;3,4
687;MANCAL ALTERNADOR FORD ESCORT XR3 WAPSA     DIANT.;1;15,708;15,708;15,708
688;MANCAL ALTERNADOR FORD CORCEL/BELINA WAPSA  TRASE.;2;15,708;15,708;15,708
690;BENDIX PART.FORD CARGO 1618/F4000 MWM    10D BOSCH;6;10,76;6,1;6,1
710;ESCOVA ALTERNADOR MERCEDES/VALME/SCANIA  24V BOSCH;3;19;5;8
715;DIODO EXCITACAO BSB/MBB;156;5;1;1
731;BENDIX PART.VW GOL GTI/GOLF 1.6 DIESEL    9D BOSCH;2;7,75;5,5;5,5
734;ARRUELA GERADOR                              WAPSA;3;2,5;0,5;2,5
747;JUNTA CARB.VW GOL/PARATI 1.6 1.8 WEBER TLDZ 495;12;18,5;0,5;12
764;ESCOVA GERADOR VW GOL/BRASILIA/KOMBI         BOSCH;24;19;5;14
765;ESCOVA ALTERNADOR FIAT UNO VW GOL 90/..      BOSCH;354;19;5;8
766;ESCOVA ALTERNADOR VW GOL/PARATI/VOYAGE       BOSCH;24;13;7;7
767;ESCOVA ALTERNADOR VW GOL/PARATI/VOYAGE       BOSCH;27;13;7;7
768;ESCOVA PARTIDA MERCEDES/SCANIA KB        24V BOSCH;6;36;12;27
808;FUCINHO PARTIDA MERCEDES JF 76/..(EM PE)     BOSCH;2;24,5;11,5;12,5
813;PORTA ESCOVA ALTER.MERCEDES/TOYOTA/MWM       BOSCH;48;8,5;3;6,5
814;BENDIX PART.FIAT PALIO/UNO GM CORSA       9D BOSCH;369;7,75;5,5;5,5
816;BENDIX PART.GM D20 MAXION                10D PREST;2;10,76;6,1;6,1
820;BENDIX PART.FORD ESCORT/MONDEO           10D BOSCH;1;7,75;5,5;5,5
821;BENDIX PART.FIAT PALIO 1.5/TIPO/TEMPRA    9D MAREL;3;7,75;5,5;5,5
823;BENDIX PART.MERCEDES SPRINTER/MB180       9D BOSCH;5;7,75;5,5;5,5
838;BENDIX PART.VW GOLF/PASSAT ALEMAO         9D BOSCH;3;7,75;5,5;5,5
841;RELE PISCA  4 TERM. 12V 500W C/SUPORTE;57;7;3,5;3,5
857;CHAVE GERAL CATERPILLAR       12/24 ATE  500A;3;10,5;7;7
864;RELE FAROL DUPLO UNIVERSAL 400W PRETO;303;9,7;4,9;9,3
872;CHAVE FAROL MILHA VW GOL 96/2005     (LED VERDE);3;4,6;3;4,5
873;BOTAO VIDRO ELE. VW GOL BOLA                PAINEL;27;4,6;3;4,5
900;JUNTA CARB.FIAT UNO/PREMIO 90/.. WEBER TLDF 495;8;18,5;0,5;12
945;CABO VELA GM MONZA/KADETT 1.8 2.0 EFI    RESISTIVO;3;22;5,5;14
990;CEBOLINHA FREIO FIAT UNO/PREMIO/TEMPRA   3 TERM.;3;11;4;4
1000;JUNTA CARB.VW FUSCA 1300/1500 SOLEX SIMPLES 30 PIC;15;18,5;0,5;12
1019;BOTAO VIDRO ELE. VW GOL/PARATI 88/..       SIMPLES;18;4,6;2,3;4,5
1023;JUNTA CARB.VW FUSCA 1600 CAR.DUPLA SOLEX 32 PDSIT;3;18,5;0,5;12
1047;CEBOLINHA FREIO FIAT UNO/TEMPRA          2 TERM.;3;11;4;4
1074;TERMINAL ENCAIXE MACHO NORMAL      S/TRAVA;42;11,5;2,1;10,3
1075;TERMINAL REDONDO 1/4 ' MEDIO   DIA.INTER. 7,00MM;138;11,5;2,1;10,3
1076;TERMINAL REDONDO 3/8 ' GRANDE  11,00MM;72;11,5;2,1;10,3
1077;TERMINAL ENCAIXE FEMEA NORMAL      C/TRAVA;447;11,5;2,1;10,3
1087;CABO RCA Y (1 FEMEA 2 MACHOS);255;25;2,5;2,5
1088;REPARO PARTIDA PERKINS COMPLETO              WAPSA;6;8;5;4
1094;TERMINAL REDONDO 3/16' PEQUENO DIA.INTER. 5,40MM;66;11,5;2,1;10,3
1095;AUTOMATICO PART.GM CORSA 1.0 1.4 94/..   12V VALEO;15;15;8;8
1096;AUTOMATICO PART.GM CORSA/OMEGA/VECTRA    12V BOSCH;9;15;8;8
1097;CHAVE TECLA MERCEDES 6 TER.-LANTERNAS E PAINEL;36;6,5;4;6
1104;BENDIX PART.FORD ESCORT HOBBY/XR3        10D BOSCH;15;5,55;5,5;5,5
1126;BRACO LIMPADOR VW FUSCA ENCAIXE  73/75;3;60;5;5
1127;BRACO LIMPADOR VW FUSCA ENCAIXE  76/95;3;60;5;5
1128;BRACO LIMPADOR VW FUSCA GANCHO   76/78;6;60;5;5
1131;BRACO LIMPADOR VW GOL ../94 (QUAD.) PARATI 96   LE;3;60;5;5
1132;BRACO LIMPADOR VW GOL ../94 (QUAD.) PARATI 96   LD;6;60;5;5
1140;BRACO LIMPADOR GM MONZA 84/...;3;60;5;5
1141;BRACO LIMPADOR GM CHEVETTE/MARAJO/CHEVY      TODOS;3;60;5;5
1143;BRACO LIMPADOR GM OPALA/CARAVAN 89/..       GANCHO;3;60;5;5
1144;BRACO LIMPADOR FORD CORCEL/BELINA II/DEL REY/PAMPA;3;60;5;5
1148;BRACO LIMPADOR FIAT UNO/PREMIO/ELBA FIORINO  TODOS;42;60;5;5
1150;BRACO LIMPADOR TRASEIRO FIAT UNO ../94;2;60;5;5
1163;BARRA LIMPADOR VW GOL/PARATI ../96 (QUADRADO)   LE;2;30;2;6
1170;BARRA LIMPADOR VW SANTANA/QUANTUM    PEQUENO    LE;6;30;2;6
1171;BARRA LIMPADOR VW SANTANA/QUANTUM    GRANDE     LD;1;30;2;6
1195;BARRA LIMPADOR GM KADETT/IPANEMA TODOS          LD;3;30;2;6
1220;BARRA LIMPADOR GM OPALA/CARAVAN TODOS PEQUENO   LE;5;30;2;6
1221;BARRA LIMPADOR GM MONZA 82/96                   LD;3;30;2;6
1222;BARRA LIMPADOR GM MONZA 82/96                   LE;3;30;2;6
1230;JUNTA CARB.VW GOL/SANTANA 1.8 2.0 SOLEX DUPLO 2E;6;18,5;0,5;12
1232;BARRA LIMPADOR GM KADETT/IPANEMA TODOS          LE;1;30;2;6
1300;AUTOMATICO PART.MERCEDES JE              12V BOSCH;2;15;8;8
1340;RELE PISCA  4 TERM. 12V S/SUPORTE;15;7;3,5;3,5
1343;ESCOVA PARTIDA MERCEDES JE               12V BOSCH;3;36;9;18
1344;TERMINAL ENCAIXE FEMEA GRANDE      S/TRAVA;18;11,5;2,1;10,3
1347;REGULADOR VOLT.GM CHEVETTE/MONZA 1 P.TORTO  DELCO;42;6,5;2,2;6,3
1348;REGULADOR VOLT.GM CHEVETTE/OPALA 1 P.RETO   DELCO;18;6,5;2,2;6,3
1349;REGULADOR VOLT.GM MONZA          2 P.TORTO  DELCO;3;6,5;2,2;6,3
1350;REGULADOR VOLT.FIAT/FORD/VW                 BOSCH;153;6,5;5,5;6,3
1351;REGULADOR VOLT.FORD CORCEL/PAMPA/DEL REY    WAPSA;8;11,6;5;9,1
1353;SOLDA EM FIO 60X40 AZUL   500 GRAMAS;144;5,5;5,5;5,5
1355;CEBOLINHA RE GM CORSA/CELTA TODOS VECTRA 96/..;27;5,5;4;4
1356;CEBOLINHA OLEO GM CORSA/CELTA/VECTRA/AGILE/ONIX;219;5,5;4;4
1368;EMBREAGEM PARTIDA KB;3;18,36;6,5;6,55
1385;CEBOLINHA FREIO FIAT UNO/ELBA/FIORINO    2 TERM.;12;11;4;4
1386;CEBOLINHA FREIO VW FUSCA/BRASILIA/KOMBI  3 TERM.;12;5,5;4;4
1387;CEBOLINHA OLEO MERCEDES;12;5,5;4;4
1389;CEBOLINHA OLEO FORD ESCORT/PAMPA VW GOL/PARATI CHT;6;5,5;4;4
1390;CEBOLINHA OLEO FIAT TODOS;15;5,5;4;4
1392;CEBOLINHA OLEO VW GOL/PARATI/SANTANA 1.8 2.0;42;5,5;4;4
1393;CEBOLINHA OLEO VW KOMBI/FUSCA 1600 FORD CARGO;15;5,5;4;4
1394;CEBOLINHA OLEO GM OPALA/CARAVAN;6;11;4;4
